Column1,Column2
2.249751,48.8940584
2.2497443,48.8926374
2.2497219,48.89404
2.2497042,48.8878693
2.2496831,48.8884736
2.2496737,48.8956376
2.2496613,48.8952626
2.249617,48.8914251
2.2496022,48.8882638
2.2495942,48.8904931
2.2495917,48.895697
2.2495571,48.8922645
2.2495487,48.8890868
2.2495467,48.8883601
2.2495406,48.8940976
2.2495237,48.8953711
2.2495192,48.8884035
2.2495043,48.8885452
2.2495013,48.895769
2.2494854,48.8950746
2.2494762,48.8908848
2.24945,48.8883609
2.2494354,48.8908758
2.249434,48.8920945
2.2494313,48.8929903
2.2494231,48.8958296
2.24942,48.894913
2.2494069,48.8954723
2.2493991,48.8883972
2.2493698,48.895463
2.2493384,48.8886327
2.2493368,48.8958917
2.2493316,48.8949599
2.2493113,48.895433
2.2493108,48.8957687
2.2493049,48.8880941
2.2493048,48.8885913
2.2493045,48.8867076
2.2492871,48.8882948
2.2492833,48.8955495
2.2492727,48.8886543
2.249272,48.8885472
2.2492709,48.8867566
2.249269,48.8922649
2.2492658,48.8898067
2.2492639,48.8867762
2.2492435,48.8886012
2.2492405,48.8885044
2.24924,48.8957331
2.2492378,48.8886129
2.2492305,48.8949322
2.2492271,48.895971
2.249225,48.8867463
2.2492195,48.889053
2.2492029,48.8886755
2.2491996,48.8885697
2.2491868,48.8923735
2.2491858,48.8956229
2.2491836,48.8867371
2.2491811,48.8948372
2.2491798,48.8884434
2.2491701,48.8886336
2.2491654,48.8885243
2.2491462,48.894033
2.2491446,48.8867185
2.2491371,48.8959765
2.2491354,48.8868915
2.2491345,48.8885917
2.2491318,48.8958731
2.2491262,48.8947812
2.2491252,48.8887962
2.2491237,48.8867007
2.2491231,48.8887006
2.2491226,48.8867279
2.249115,48.8940078
2.2491134,48.8922311
2.2491118,48.8880961
2.2491087,48.8867805
2.2491072,48.8948316
2.2491043,48.8885445
2.2490968,48.8957003
2.2490882,48.8886557
2.2490846,48.8892789
2.2490819,48.8869667
2.249078,48.8868273
2.2490675,48.886653
2.2490663,48.8868642
2.2490636,48.8958663
2.2490601,48.8886173
2.2490584,48.8882401
2.2490403,48.8892198
2.2490309,48.8946524
2.2490306,48.8885732
2.2490284,48.8957239
2.2490271,48.8937944
2.2490249,48.8881987
2.2490068,48.8946611
2.2489968,48.8868013
2.2489947,48.8891594
2.2489927,48.8882617
2.248992,48.8881546
2.248982,48.8893128
2.2489813,48.8924383
2.2489605,48.8881118
2.2489578,48.8882203
2.2489384,48.8892507
2.2489244,48.8868034
2.248923,48.8882829
2.2489196,48.888177
2.2489171,48.892293
2.2489112,48.8880104
2.2489106,48.8906161
2.248907,48.8960091
2.2488981,48.8937487
2.2488914,48.886775
2.2488901,48.888241
2.2488854,48.8881316
2.2488833,48.8924692
2.2488828,48.8893441
2.2488546,48.8881991
2.2488532,48.8891294
2.2488432,48.888308
2.2488417,48.8877031
2.2488351,48.8892842
2.2488289,48.8942728
2.2488286,48.8885922
2.2488256,48.8877349
2.2488244,48.8881519
2.2488194,48.8866695
2.248813,48.8959026
2.2488103,48.8868913
2.2488102,48.894171
2.2488083,48.888263
2.2488069,48.8877684
2.2487949,48.8892224
2.2487908,48.8942572
2.2487889,48.8893702
2.2487881,48.8878001
2.2487867,48.8876934
2.2487847,48.8956782
2.2487815,48.88738
2.2487806,48.8925015
2.2487801,48.8882247
2.2487784,48.8876371
2.2487756,48.8919529
2.2487755,48.8941807
2.2487747,48.8878381
2.2487742,48.8886095
2.2487704,48.8937332
2.24877,48.8951286
2.248768,48.8877225
2.248764,48.887881
2.2487626,48.895977
2.2487559,48.8878645
2.2487506,48.8881806
2.2487492,48.887756
2.2487466,48.8891629
2.2487446,48.8893124
2.2487371,48.8877878
2.2487331,48.8876802
2.248731,48.8959403
2.2487224,48.8878187
2.2487189,48.8958081
2.248717,48.8877093
2.248716,48.888628
2.2487151,48.8953032
2.2487104,48.8882859
2.2487017,48.889401
2.2487017,48.8892524
2.2486982,48.8878609
2.2486851,48.8884102
2.248685,48.8961556
2.248673,48.8925355
2.2486706,48.8943261
2.2486672,48.8874654
2.2486632,48.8874863
2.2486561,48.889192
2.2486548,48.8893402
2.2486548,48.8886474
2.2486494,48.8886074
2.2486439,48.887524
2.2486307,48.8884275
2.2486138,48.8952654
2.2486131,48.8923888
2.2486119,48.887475
2.2486118,48.8892806
2.2486112,48.8953493
2.2486051,48.8894306
2.2486007,48.8886646
2.2485952,48.89592
2.2485926,48.8875126
2.2485893,48.8875392
2.2485725,48.888446
2.2485676,48.8892194
2.2485595,48.8893719
2.2485577,48.8874629
2.2485486,48.8925747
2.2485389,48.8886843
2.2485384,48.8875006
2.2485213,48.8867644
2.2485153,48.8894601
2.2485153,48.8893111
2.2485114,48.8884655
2.2485101,48.8936524
2.2485027,48.8924236
2.2485014,48.8874505
2.2484851,48.8954251
2.2484821,48.8911195
2.2484821,48.8874882
2.2484815,48.8887025
2.2484712,48.8912873
2.2484695,48.8942105
2.248469,48.8892498
2.2484615,48.8936055
